,Kozak-AU1,C-Linker,Ollas-mCherry_V2,S-mCherry,VSVg-mCherry,FLAG-Linker,linker-S,S-linker_v2,Linker-V5,V5-mCherry,link-HA-link,NWS-mCherry,Ollas-linker_v2
c3.2,1,1,1,0,0,0,0,0,0,0,0,0,0
c7.1,1,1,0,1,0,0,0,0,0,0,0,0,0
c18.2,1,1,0,0,1,0,0,0,0,0,0,0,0
c26.1,1,0,0,0,1,1,0,0,0,0,0,0,0
c35.1,1,0,0,0,0,0,1,1,1,1,0,0,0
c50.4,0,1,0,0,0,0,0,0,0,0,1,1,0
c55.3,0,0,0,0,0,1,0,0,0,0,1,1,0
c70.2,0,0,0,1,0,1,1,0,0,0,0,0,1
